8,643,1,0.545269
8,954,2,0.684699
8,1193,3,0.72221
8,1413,4,0.776957
8,1605,5,0.826235
8,1771,6,0.854972
8,1923,7,0.869594
8,2067,8,0.88581
8,2203,9,0.889732
8,2337,10,0.898638
8,2466,11,0.907436
51,643,1,0.759733
51,844,2,0.79533
51,1026,3,0.852444
51,1179,4,0.876211
51,1320,5,0.895744
51,1451,6,0.903962
8,643,1,0.545269
8,954,2,0.684699
8,1193,3,0.72221
8,1413,4,0.776957
8,1605,5,0.826235
8,1771,6,0.854972
8,1923,7,0.869594
8,2067,8,0.88581
8,2203,9,0.889732
8,2337,10,0.898638
8,2466,11,0.907436
51,643,1,0.759733
51,844,2,0.79533
51,1026,3,0.852444
51,1179,4,0.876211
51,1320,5,0.895744
51,1451,6,0.903962
8,643,1,0.545269
8,954,2,0.684699
8,1193,3,0.72221
8,1413,4,0.776957
8,1605,5,0.826235
8,1771,6,0.854972
8,1923,7,0.869594
8,2067,8,0.88581
8,2203,9,0.889732
8,2337,10,0.898638
8,2466,11,0.907436
51,643,1,0.759733
51,844,2,0.79533
51,1026,3,0.852444
51,1179,4,0.876211
51,1320,5,0.895744
51,1451,6,0.903962
8,711,1,0.604139
8,1032,2,0.700883
8,1298,3,0.730507
8,1547,4,0.820414
8,1745,5,0.84444
8,1929,6,0.869594
8,2099,7,0.882544
8,2262,8,0.892027
8,2419,9,0.898638
8,2573,10,0.917695
8,2716,11,0.927543
51,711,1,0.792597
51,925,2,0.820114
51,1123,3,0.866959
51,1295,4,0.895744
51,1450,5,0.903962
51,1601,6,0.90953
51,1748,7,0.91461
51,1893,8,0.933668
8,711,1,0.604139
8,1032,2,0.700883
8,1298,3,0.730507
8,1547,4,0.820414
8,1745,5,0.84444
8,1929,6,0.869594
8,2099,7,0.882544
8,2262,8,0.892027
8,2419,9,0.898638
8,2573,10,0.917695
8,2716,11,0.927543
51,711,1,0.792597
51,925,2,0.820114
51,1123,3,0.866959
51,1295,4,0.895744
51,1450,5,0.903962
51,1601,6,0.90953
51,1748,7,0.91461
51,1893,8,0.933668
8,711,1,0.604139
8,1032,2,0.700883
8,1298,3,0.730507
8,1547,4,0.820414
8,1745,5,0.84444
8,1929,6,0.869594
8,2099,7,0.882544
8,2262,8,0.892027
8,2419,9,0.898638
8,2573,10,0.917695
8,2716,11,0.927543
51,711,1,0.792597
51,925,2,0.820114
51,1123,3,0.866959
51,1295,4,0.895744
51,1450,5,0.903962
51,1601,6,0.90953
51,1748,7,0.91461
51,1893,8,0.933668
8,801,1,0.641588
8,1152,2,0.721607
8,1451,3,0.797314
8,1702,4,0.841338
8,1925,5,0.869594
8,2130,6,0.882544
8,2326,7,0.897107
8,2513,8,0.910049
8,2692,9,0.927543
8,2859,10,0.931687
8,3024,11,0.931687
8,3189,12,0.938089
8,3350,13,0.942779
51,801,1,0.791351
51,1056,2,0.856548
51,1269,3,0.889853
51,1461,4,0.903027
51,1644,5,0.91461
51,1820,6,0.926021
51,1988,7,0.937997
51,2149,8,0.942141
8,801,1,0.641588
8,1152,2,0.721607
8,1451,3,0.797314
8,1702,4,0.841338
8,1925,5,0.869594
8,2130,6,0.882544
8,2326,7,0.897107
8,2513,8,0.910049
8,2692,9,0.927543
8,2859,10,0.931687
8,3024,11,0.931687
8,3189,12,0.938089
8,3350,13,0.942779
51,801,1,0.791351
51,1056,2,0.856548
51,1269,3,0.889853
51,1461,4,0.903027
51,1644,5,0.91461
51,1820,6,0.926021
51,1988,7,0.937997
51,2149,8,0.942141
8,801,1,0.641588
8,1152,2,0.721607
8,1451,3,0.797314
8,1702,4,0.841338
8,1925,5,0.869594
8,2130,6,0.882544
8,2326,7,0.897107
8,2513,8,0.910049
8,2692,9,0.927543
8,2859,10,0.931687
8,3024,11,0.931687
8,3189,12,0.938089
8,3350,13,0.942779
51,801,1,0.791351
51,1056,2,0.856548
51,1269,3,0.889853
51,1461,4,0.903027
51,1644,5,0.91461
51,1820,6,0.926021
51,1988,7,0.937997
51,2149,8,0.942141
8,926,1,0.68518
8,1314,2,0.746088
8,1657,3,0.839726
8,1931,4,0.869594
8,2182,5,0.885787
8,2421,6,0.898638
8,2651,7,0.923214
8,2863,8,0.931687
8,3068,9,0.931687
8,3273,10,0.942779
8,3470,11,0.948865
8,3663,12,0.954039
8,3852,13,0.954039
8,4041,14,0.956213
8,4228,15,0.965108
51,926,1,0.830198
51,1207,2,0.883388
51,1448,3,0.903962
51,1674,4,0.91461
51,1892,5,0.933668
51,2096,6,0.942141
51,2294,7,0.948543
51,2487,8,0.955498
51,2675,9,0.960672
8,926,1,0.68518
8,1314,2,0.746088
8,1657,3,0.839726
8,1931,4,0.869594
8,2182,5,0.885787
8,2421,6,0.898638
8,2651,7,0.923214
8,2863,8,0.931687
8,3068,9,0.931687
8,3273,10,0.942779
8,3470,11,0.948865
8,3663,12,0.954039
8,3852,13,0.954039
8,4041,14,0.956213
8,4228,15,0.965108
51,926,1,0.830198
51,1207,2,0.883388
51,1448,3,0.903962
51,1674,4,0.91461
51,1892,5,0.933668
51,2096,6,0.942141
51,2294,7,0.948543
51,2487,8,0.955498
51,2675,9,0.960672
8,926,1,0.68518
8,1314,2,0.746088
8,1657,3,0.839726
8,1931,4,0.869594
8,2182,5,0.885787
8,2421,6,0.898638
8,2651,7,0.923214
8,2863,8,0.931687
8,3068,9,0.931687
8,3273,10,0.942779
8,3470,11,0.948865
8,3663,12,0.954039
8,3852,13,0.954039
8,4041,14,0.956213
8,4228,15,0.965108
51,926,1,0.830198
51,1207,2,0.883388
51,1448,3,0.903962
51,1674,4,0.91461
51,1892,5,0.933668
51,2096,6,0.942141
51,2294,7,0.948543
51,2487,8,0.955498
51,2675,9,0.960672
